loan_status,total_pymnt_inv,int_rate,emp_length,title,delinq_2yrs,total_rec_int,emp_title,mths_since_recent_inq,pub_rec_bankruptcies,open_rv_24m,il_util,num_bc_tl,annual_inc,zip_code,addr_state,dti,mo_sin_old_il_acct,tot_coll_amt,open_il_24m,total_cu_tl,bc_util,mo_sin_old_rev_tl_op,earliest_cr_line,last_credit_pull_d
Paid,720.1,11.99%,< 1 year,Debt consolidation,0,291.43,Project Manager,NA,0,0,73,2,65000,926xx,CA,26.81,142,0,2,5,63.7,146,Oct-2005,Feb-2018
Paid,180.11,7.35%,1 year,Debt consolidation,0,30.63,Business Development,4,0,2,10,5,65000,070xx,NJ,8.35,230,0,0,0,40.6,199,Oct-1998,Feb-2018
Paid,1184.55,6.08%,< 1 year,Debt consolidation,0,168.89,Editor/Writer,NA,0,0,77,2,60000,200xx,DC,25.46,68,0,1,1,64.7,208,Aug-2000,Dec-2017
Paid,253.82,23.88%,10+ years,Credit card refinancing,0,165.83,EMT,NA,0,2,NA,11,42000,726xx,AR,31.17,61,0,0,0,96.1,230,Oct-1998,Feb-2018
Paid,1735.51,9.93%,3 years,Debt consolidation,0,179.9,Data Scientist,8,0,0,41,7,68000,752xx,TX,30.04,149,0,1,0,39.2,185,Jul-2002,Feb-2018
Paid,570.32,7.35%,6 years,Debt consolidation,0,96.98,Insurance Auditor,3,0,0,NA,10,90000,960xx,CA,11.92,64,0,4,1,46.6,146,Oct-2005,Feb-2018
Paid,332.91,12.62%,7 years,Debt consolidation,0,140.23,Boss and only employee,1,1,3,70,7,55000,925xx,CA,13.02,117,0,1,1,26.7,116,Mar-2008,Feb-2018
Paid,446.51,7.35%,2 years,Credit card refinancing,1,75.93,Parole/Probation Officer,16,0,0,40,5,52956,565xx,MN,23.48,195,0,0,0,36.7,180,Sep-2001,Feb-2018
Paid,447.24,6.72%,< 1 year,Credit card refinancing,0,70,Document Control,NA,0,0,79,3,66560,770xx,TX,13.18,143,0,1,6,69.4,214,Feb-2000,Feb-2018
Paid,476.38,26.30%,1 year,Debt consolidation,0,328.75,Configuration SME,8,0,0,84,6,100000,207xx,MD,13.42,112,315,2,0,81.6,139,May-2006,Feb-2018
Paid,1100.35,20.00%,10+ years,Debt consolidation,0,444.44,gutter installation,6,0,0,86,4,35000,144xx,NY,39.4,31,0,1,0,75.6,123,Sep-2007,Dec-2017
Paid,175.54,6.72%,NA,Debt consolidation,0,24.22,NA,18,0,1,49,7,36000,184xx,PA,30.33,40,0,1,0,23.2,403,Apr-1984,Feb-2018
Paid,319.17,30.65%,4 years,Medical expenses,0,238.39,Field Tech,2,0,2,41,8,74460,995xx,AK,25.75,120,0,2,3,83.4,130,Feb-2007,Feb-2018
Paid,2326.44,5.32%,< 1 year,Debt consolidation,0,267.35,Ammunition Manager,1,0,1,58,7,100000,920xx,CA,18.84,129,0,1,7,62.1,215,Jan-2000,Feb-2018
Paid,353.66,16.02%,9 years,Debt consolidation,0,178,Technician,14,0,0,87,3,40000,383xx,TN,32.01,52,0,2,0,63,186,Jun-2002,Feb-2018
Paid,331.68,6.08%,6 years,Other,0,47.29,Vice President,17,0,3,56,14,225000,071xx,NJ,9.62,134,0,3,0,19,145,Nov-2005,Feb-2018
Paid,100.95,11.99%,6 years,Other,0,26.64,Hairstlist,0,1,1,62,3,40000,480xx,MI,27.96,153,0,1,2,94.8,47,Aug-1999,Feb-2018
Paid,282.87,18.06%,4 years,Debt consolidation,0,105.35,Welder,9,0,2,NA,2,60000,300xx,GA,15.5,111,0,1,3,98.1,48,Sep-2008,Dec-2017
Paid,357.8,6.72%,10+ years,Vacation,0,56,Project Manager,14,0,0,81,11,75000,063xx,CT,11.94,63,0,1,0,4.9,174,Jun-2003,Feb-2018
Paid,416.13,12.62%,1 year,Debt consolidation,0,175.27,Accounting Manager,9,0,1,110,11,66000,431xx,OH,26.21,168,0,0,2,87,230,Oct-1998,Feb-2018
Paid,430.18,15.05%,3 years,Credit card refinancing,0,206.94,engineer,6,0,2,86,7,108600,021xx,MA,18.19,87,116,2,0,3.7,96,Dec-2009,Dec-2017
Paid,298.2,5.32%,10+ years,Debt consolidation,0,41.38,Paralegal,6,0,8,60,21,100000,087xx,NJ,8.7,152,0,3,0,11.3,294,Jun-1993,Feb-2018
Paid,592.28,6.08%,3 years,Debt consolidation,0,84.44,Software Support Engineer,5,0,5,36,13,100000,275xx,NC,18.74,60,0,2,0,3.7,175,May-2003,Feb-2018
Paid,725.18,7.97%,4 years,Debt consolidation,0,132.83,Senior Valuation Consultant,7,0,1,NA,2,70000,606xx,IL,1.03,NA,0,0,0,6.7,42,Jun-2014,Feb-2018
Paid,161.64,18.06%,10+ years,Debt consolidation,0,60.2,Management,11,0,5,82,18,150000,300xx,GA,30.86,174,0,3,3,79.6,279,Sep-1994,Feb-2018
Paid,150.09,7.35%,4 years,Major purchase,0,25.52,respiratory therapist,8,0,2,62,10,45000,142xx,NY,26.53,137,0,2,1,32,264,Mar-1991,Feb-2018
Paid,333.04,10.91%,10+ years,Other,2,96.98,Real Estate sales,11,0,1,106,7,80000,558xx,MN,14.22,170,0,1,1,79.8,528,Dec-1973,Feb-2018
Paid,483.46,7.97%,10+ years,Debt consolidation,0,88.56,Associate to Database Services,4,0,1,54,7,70000,770xx,TX,17.3,120,0,2,0,53.4,124,Aug-2007,Feb-2018
Paid,1028.35,11.99%,< 1 year,Home buying,0,271.44,Admissions Advisor,1,1,5,75,13,55000,958xx,CA,25.41,168,0,2,1,24.3,124,Dec-2003,Feb-2018
Paid,663.12,16.02%,5 years,Debt consolidation,1,333.75,"Licensed Mortician, Manager",2,1,1,69,4,78500,207xx,MD,27.98,128,0,2,9,0,126,Apr-2007,Feb-2018
Paid,83.32,9.93%,3 years,Credit card refinancing,0,18.62,Geologist,3,0,2,72,6,55000,159xx,PA,37.12,98,0,4,0,38.3,120,Dec-2007,Feb-2018
Paid,105.76,7.97%,5 years,Other,1,19.38,Substance Abuse Counselor,NA,0,1,80,5,45630,701xx,LA,21.7,127,0,1,0,31.3,111,May-2007,Feb-2018
Paid,419.97,25.82%,10+ years,Other,0,286.89,Research Coordinator,14,0,0,69,2,51000,389xx,MS,27.53,162,0,1,0,96.7,218,Oct-1999,Feb-2018
Paid,302.16,7.97%,< 1 year,Vacation,0,55.35,Fabrication,1,0,1,27,3,40000,679xx,KS,13.53,24,0,2,0,19.6,46,Feb-2014,Feb-2018
Paid,563.19,17.09%,10+ years,Debt consolidation,0,296.7,Business Analyst,10,0,0,89,3,95000,020xx,MA,13.61,139,0,1,0,85.1,266,Oct-1995,Feb-2018
Paid,456.24,15.05%,2 years,Debt consolidation,0,219.48,"Program Manager, Marine Unit",12,0,0,41,10,92000,320xx,FL,20.97,125,0,0,0,93.9,183,Sep-2002,Feb-2018
Paid,1204.82,6.08%,6 years,Other,0,189.15,Engineer,10,0,1,64,5,203000,750xx,TX,9.81,145,0,3,1,54.2,165,Aug-2001,Feb-2018
Paid,854.17,14.08%,10+ years,Credit card refinancing,0,391.11,Sr. Lead Transport,6,0,2,NA,5,60000,945xx,CA,11.77,115,0,0,1,67.5,285,Mar-1994,Feb-2018
Paid,236.59,11.99%,10+ years,Debt consolidation,0,62.45,Bus Management Analyst,4,0,1,65,15,75000,549xx,WI,25.62,178,0,3,0,41.8,202,Feb-2001,Feb-2018
Paid,348.21,28.72%,10+ years,Debt consolidation,0,248.9,aide,NA,0,2,74,4,50200,115xx,NY,23.43,156,0,2,0,92.4,166,Feb-2004,Feb-2018
Paid,153.47,9.44%,8 years,Business,0,32.77,Network/Computer Tech,NA,0,0,53,5,56000,367xx,AL,19.72,141,208,0,1,69.5,150,Jun-2005,Feb-2018
Paid,153.47,9.44%,4 years,Credit card refinancing,0,32.77,Banquet Houseman,1,0,0,84,8,55000,207xx,MD,28.63,124,0,2,0,60.3,142,Feb-2006,Feb-2018
Paid,208.07,12.62%,10+ years,Home improvement,0,87.64,Packer,2,1,9,51,2,45000,043xx,ME,21.63,59,0,1,1,0,112,Aug-2008,Feb-2018
Paid,253.95,9.44%,NA,Other,0,60.83,NA,3,0,3,98,3,25000,342xx,FL,26.79,43,0,1,2,38.1,137,Jul-2006,Feb-2018
Paid,740.35,6.08%,10+ years,Debt consolidation,0,105.56,Data Center Manager,5,0,3,31,7,144000,330xx,FL,21.38,164,0,1,0,40,171,Sep-2003,Feb-2018
Paid,1234.21,9.93%,3 years,Business,0,275.83,owner,6,0,4,54,9,250000,980xx,WA,4.58,19,0,1,0,33.5,62,Oct-2012,Feb-2018
Paid,199.95,17.09%,NA,Home improvement,2,71.21,NA,12,0,0,84,1,34800,782xx,TX,27.03,143,0,2,14,NA,260,Apr-1996,Feb-2018
Paid,881.28,5.32%,10+ years,Credit card refinancing,0,110.83,"Vice President, Operations",17,0,5,30,34,200000,370xx,TN,18.18,173,0,0,0,41.1,425,Jul-1982,Feb-2018
Paid,962.58,15.05%,6 years,Debt consolidation,1,418,Manager,16,0,1,45,8,65000,462xx,IN,24.45,220,0,1,0,42.4,149,Aug-1999,Feb-2018
Paid,458.36,18.06%,5 years,Debt consolidation,0,250.83,N FL HCP Associate Vice President,13,1,4,64,8,110000,320xx,FL,27.74,101,0,3,3,55.3,237,Mar-1998,Feb-2018
Paid,1204.82,6.08%,< 1 year,Debt consolidation,0,189.15,Loss Mitigation Manager,20,0,1,89,5,100000,928xx,CA,11.21,8,0,2,3,10.1,148,Aug-2005,Feb-2018
Paid,270.15,7.35%,3 years,Credit card refinancing,0,45.94,Administrative Assistant,NA,0,3,NA,8,54000,946xx,CA,5.82,115,0,0,1,36.5,150,Jun-2005,Feb-2018
